DataHora,Idade,Sexo,TempoDocencia,CursoGraduacao,PosEmEstatistica,UsoR,UsoTinkerplots,UsoFathom,UsoExcel,UsoSPSS,UsoCODAP,UsoMinitab,UsoPython,UsoSigmaplot,UsoPSPP,NomeOutros1,UsoOutro1,NomeOutros2,UsoOutro2,NomeOutros3,UsoOutro3
27/11/2023 21:55:34,38,Masculino,1,Ciências Contábeis,Não,1,1,1,5,5,1,1,1,1,1,STATA,5,NIHIL,1,NIHIL,1
28/11/2023 08:03:15,62,Masculino,27,Engenharia Florestal,Sim,1,1,1,4,1,1,3,1,1,1,GS+,3,,,,
28/11/2023 10:35:54,42,Feminino,14,Estatística,Não,5,1,1,3,1,1,1,,1,1,,,,,,
28/11/2023 11:54:31,41,Masculino,8,Bacharelado em Física,Não,2,1,1,4,1,1,2,1,1,1,LabPlot2,4,,,,
28/11/2023 12:16:01,36,Masculino,4,Engenharia Florestal,Sim,,,,,,,4,,4,,,,,,,
28/11/2023 13:04:49,51,Masculino,20,Bacharelado em Estatística,Sim,5,2,2,5,2,2,2,4,2,2,,,,,,
28/11/2023 13:57:35,40,Feminino,7,Química,Não,5,1,1,5,1,1,5,3,1,1,,,,,,
28/11/2023 14:43:09,69,Masculino,30,Estatística,Sim,5,1,1,2,2,1,1,5,1,1,,,,,,
28/11/2023 15:09:34,35,Feminino,2,Enfermagem,Não,1,1,1,4,1,1,1,1,1,3,JAMOVI,5,,,,
28/11/2023 18:05:04,43,Feminino,7,Licenciatura em Matemática e Engenharia civil,Não,5,,,5,,,5,5,,,,,,,,
28/11/2023 18:29:52,45,Feminino,19,Bacharelado em Matemática,Sim,5,1,1,5,2,1,2,2,1,1,,,,,,
28/11/2023 19:19:31,39,Feminino,1,Psicologia,Não,1,1,1,4,3,1,1,1,1,4,Libre Office,3,,,,
28/11/2023 23:11:20,33,Feminino,6,Ciências Econômicas,Sim,5,1,1,3,2,1,1,3,1,1,,,,,,
29/11/2023 00:02:19,47,Masculino,17,Estatística,Sim,5,1,1,5,5,1,3,2,1,1,"STATISTIC,",3,BIOESTATISTICA,3,STATIGRAPHIC,3
29/11/2023 09:40:29,60,Masculino,15,Geografia,Não,1,1,1,1,5,1,1,1,1,1,google,5,,,,
29/11/2023 10:04:01,43,Feminino,2,Nutrição,Não,4,1,1,4,4,1,1,1,1,4,Jasp,4,,,,
29/11/2023 10:04:21,38,Feminino,6,Licenciatura em Matemática,Não,1,1,1,4,1,1,1,3,1,1,,,,,,
29/11/2023 10:09:03,55,Feminino,25,Bacharelado em Estatistica,Sim,2,1,1,4,3,1,4,1,1,1,,,,,,
